"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02"
"__",0.236512803781848,1.21242412107474,0.257967038935669,-0.0821621296732965,-1.13292519865383,0.100539177009526,-0.135483027947741,-0.0295257410172266,0.181983566789256,0.244320432626219,-0.527590407322038,-0.974676481080182,0.99075331049275,0.842867611864255,-0.857677971921539,-1.02128977552716,0.920437558455586,1.01137137414239,-0.165253745417213,-0.814228611670449,-0.112997001042868,0.568930092322201,0.50100058509038,-1.55547522126934,0.660665886101462,0.110772416062964,-0.072895160591944,0.33784328687332,0.0417564318020884,0.183043412795525,-0.0954067082609674,-0.289389365263315,-0.117372838552668,1.32261560893348,0.408829471842567,-0.468327076144841,0.526855189555555,-0.733323620606489,-0.464607965316816,0.151816918216462,0.687372862102191,0.217750271709538,0.443624007053426,0.622797387817086,0.764292156192238,0.529053168809988,0.650030497493834,0.456089469252218,0.692161718819154,-2.38497764679765,0.599255720750698,-0.716852414073447,-0.357613978274155,-0.0186148537977611,-1.68436560574799,0.516981786685344,0.290109994911795,0.403607628474549,-0.108150232114869,0.00336674977288522,0.70273279744646,0.613374523028882,-0.54529381749736,-0.245089975302162,-0.232044181777546,0.191965620866588,0.345214013851601,0.585433882369297,0.327579261785885,0.383365609905971,-0.136849784676368,-0.6512445747076
"s__",0.17901412960986,1.23571962205208,0.26965680383084,0.253657103891095,-1.41638083222904,0.58812264117193,-0.258279950594667,0.0817351587199663,-0.0752919017432719,0.406763949188892,-0.757723085025279,-1.05007882230106,1.21196264679943,0.942173697596949,-0.59104001976512,-0.738516122481782,0.961376222065164,1.00946241436818,-0.428100347423946,-1.04832589926404,-0.025147777507805,0.739927035830587,0.65531045147989,-2.00414857478935,0.751377137969456,-0.0497956049410123,-0.0968981496008746,0.191136016070791,0.0438174393346673,0.213335783580617,0.104843572371609,-0.318828497334639,-0.140598066856563,1.05706510667183,0.244534898253874,-0.791116915426217,0.713479644216757,-0.835751110599711,-0.691653867636815,0.0328231017197318,0.64250658019221,0.232842915012747,0.414661929204395,0.679926096620888,0.796448804992081,0.550520554399041,0.593631431814078,0.295493147832381,0.620969863138876,-2.73520115411369,0.340268703719107,-0.838987898326784,-0.0745361487577449,0.381835748307177,-1.96421378333183,0.504617196319003,-0.0802061930056294,0.142081365935838,-0.263257674002148,0.223542728149407,0.679513399615254,0.561602018097702,-0.738672804650892,-0.306455484592189,-0.240728802573497,0.349337808426742,0.17828537419696,0.609761067576107,0.55712555122592,0.280412202739931,-0.293961613437001,-0.577914512946718
"s__ramosum",0.0473285249017448,-0.0942056756039583,0.0060910980649318,-0.265388479802422,0.383924098317691,-0.210981067150886,0.245550852118779,-0.318170571542221,0.363080465742365,-0.132456537957841,0.209079839776043,0.059181201402085,-0.172971533984736,-0.117886605742149,-0.0522350006198888,0.0806300868270015,0.0884871958480142,0.0588874938295448,0.391606442380446,0.54719023425856,-0.0857423748216283,-0.241393585451825,-0.166757943413784,0.732999466808581,-0.147870182635242,0.167279024808792,-0.01472018748893,0.0143353140108171,-0.126330000897577,-0.125903173346838,-0.830877700936281,0.0019156709070034,-0.0617924197342296,0.0357040639874046,0.172874111700332,0.518319739620025,-0.342963489139899,0.263774408185175,0.371055213842137,0.156413481805608,-0.0428436352073507,-0.0953782693530116,0.0876186275438151,-0.079728482196511,-0.181570340681271,0.0231375548076328,-0.00100122906178787,0.229564502690744,-0.0178607693129055,0.454775683124523,0.458189437365022,0.264540644521061,-0.105958222049242,-0.419448268120639,0.379203339583992,0.00181933615218335,0.254982054860467,-0.167685082540531,0.102370751497599,-0.23341537721251,-0.177809931885344,0.0819065172494025,0.290711074640569,0.0576260456672948,0.149757254239828,-0.0550744788825936,0.0827367791673435,-0.127586456126571,-0.0517188635448333,0.284535634639049,0.107704994555399,-0.43021818118698
"s__prausnitzii",-0.0600539289214748,0.219025421146576,0.0831045538679532,0.609272376738592,-0.623879532107404,1.05978697441668,-0.141494269223194,0.0259706057084415,-0.322115383458793,0.34629752545472,-0.509204118392808,-0.328311001542012,0.603904660157544,0.317090164952166,0.451956490294063,0.561451445401749,0.34548754234261,0.234881331044064,-0.380954789289078,-0.316517283805266,0.12933319071061,0.346854863496589,0.349539018289878,-0.846262367049249,0.237990816623478,-0.246779018468805,-0.0843838110348617,-0.285458011806656,-0.0831462955593356,0.0139299532835352,-0.158161368161359,-0.126779815056392,-0.126899514342268,-0.372362790014562,-0.194313393673671,-0.490423017336869,0.29985824590575,-0.192524482362544,-0.366049654534605,-0.144735417263221,-0.0108429130369557,0.00642600546814775,0.0808225692183315,0.199890845889317,0.0880083801167757,0.172372054599998,-0.0145603305399647,-0.132906058951992,-0.0557391004055169,-0.975427368637154,-0.173524884898342,-0.237321607130001,0.547794314461408,0.663338003503437,-0.724754442986335,0.0704561276663261,-0.662153035776208,-0.694360414825435,-0.324933893724938,0.36520641264906,-0.0574007208150753,0.052955697167478,-0.359864458685405,-0.154453100549471,0.0480452248376503,0.382689163689899,-0.281734227592759,0.0754210416946221,0.58916102104274,0.0369881624023575,-0.331332504194157,-0.272549635740882
"s__gnavus",0.00694210433299581,0.198786280319986,-0.0210335216005028,-0.012078280186219,-0.357692537155158,-0.358980039025779,-0.300174961388356,0.458144177608013,-0.306847216842703,0.0134193626798345,-0.0691024518831622,-0.0351620316829783,0.02904943810373,0.109326999669276,-0.358628550681906,-0.657767648104424,-0.207819383428968,-0.0757404887386668,-0.368657639121027,-0.752661369634991,0.0260344905062053,0.230970201536431,0.105401909873668,-0.808462333854918,0.176286497694125,-0.0725195665464738,0.0654283691199327,0.221017923313221,0.251921097582057,0.211032142807451,1.3413447454245,0.0323643269755019,0.156942714426156,0.408175455369468,-0.0661292846122361,-0.538166333812415,0.408034771976923,-0.392907170860551,-0.396807489886811,-0.116165133691428,0.185160120520558,0.175619636659505,-0.111903773655313,0.0921784930765872,0.3424268806283,-0.0604655436227105,0.118305054629474,-0.184064236059966,0.177653879760523,-0.441017436296233,-0.478769600179436,-0.362015242748563,-0.257809435357553,0.195437321362633,-0.375517633053343,0.0364325189721161,0.0967143279144201,0.774202309004493,0.0404526949073098,0.113594752080189,0.42179942170472,-0.0570301984141236,-0.292956887384268,-0.0262568478424491,-0.295683122157726,-0.135791741675515,0.116599658721335,0.239710006162207,-0.253660081885624,-0.390233514894026,0.031858643996027,0.720049481789707
"s__distasonis",-0.0905117139979371,-0.170122287146773,-0.100256024167786,0.142544792414584,-0.122454507591356,-0.222751794689538,-0.319653106428836,0.534304042552222,-0.479973977100779,-0.00174461604174189,0.00786872344145338,0.246169924391028,-0.20176547279443,-0.116734376898655,-0.000364145851832859,-0.256573514204476,-0.497735296842249,-0.404314338989192,-0.435962023763248,-0.621205552737565,0.0973143162391385,0.126528153327795,0.00973237005334919,-0.524945694850797,0.00877756265271581,-0.17344228571452,0.0829806839567881,0.0680681706120584,0.252528744507952,0.175094275285656,1.51900688832881,0.115427297356701,0.193827741648471,-0.0959666042797883,-0.26359645470157,-0.54030640751777,0.332336405360438,-0.217969550535555,-0.355975661253291,-0.216553353378225,-0.0424943645947448,0.120877361591541,-0.27094614482428,-0.0805013836231896,0.127947579480718,-0.224809102212064,-0.105319234774105,-0.401419586439155,-0.0620353242897852,0.165171889398507,-0.795178587716331,-0.198302331368938,-0.0480923797417522,0.365390317432939,0.0367625512405491,-0.131963169418488,-0.133315841745067,0.585064929262503,0.0176473414553134,0.203004105976925,0.209926015549268,-0.276318369796496,-0.207923018059989,0.0272923600240147,-0.240188313837938,-0.143948381444423,-0.0519411562335618,0.0741237404600612,-0.283702668430556,-0.572960094232949,0.0170243492817372,0.994451591348735
"s__formicilis",-0.0279316839381147,0.0695660463155987,0.0121876546539504,0.202676509762976,-0.244068392305774,0.264056842954967,-0.111226462710027,0.116340147080534,-0.185618189595323,0.108074738228989,-0.163546841982474,-0.077451892537913,0.166812260650499,0.0963350450745861,0.101454499202973,0.074885575117773,0.0288617541857128,0.0191755262801736,-0.205385692162225,-0.246890973623018,0.0535597013792077,0.145637119555727,0.120095268986591,-0.405468638671875,0.0930723099254931,-0.103243209276032,-0.00981856186914616,-0.0570631092052234,0.0292892398223407,0.046242329604544,0.263281434867531,-0.0227653308228751,-0.000837048099801969,-0.0824405979079582,-0.0964754157489684,-0.268788053856259,0.172925414510995,-0.125398169301237,-0.194807951077889,-0.0812051653946289,0.0114917969508421,0.0341071040957648,-0.0172500758693522,0.06241624157913,0.0777252347526161,0.0216085360831896,-0.00376687653813258,-0.105445333403155,-0.00534379692456708,-0.329144441458317,-0.193267308467073,-0.133748215291441,0.136350139463436,0.266278372675221,-0.25924839348218,0.010815911878998,-0.209001720545331,-0.0667824499126229,-0.0940004151215947,0.14744187396912,0.050440899755439,-0.0206424721587428,-0.165327376426346,-0.0473787199403217,-0.0433691666847088,0.0875855119388659,-0.0804056594034648,0.0569423677859174,0.123165931858466,-0.0940561654751317,-0.0969540289971552,0.103484713960329
"s__mucilaginosa",0.126403846758724,-0.016623619643214,0.0707899181654229,-0.476596667119301,0.612212239953494,-0.189390055777308,0.539298572811134,-0.770137705550672,0.810950432337339,-0.190585988195896,0.294493411777768,-0.0716801986450907,-0.122176929462614,-0.0905703219495884,-0.0990042891498611,0.236485959940383,0.42940675454849,0.335970502863789,0.820615839188347,1.138812891812,-0.184401059270744,-0.415812131836544,-0.2417229439708,1.34453076068649,-0.209057087177408,0.347982515896218,-0.0695429069208944,-0.00778016783664059,-0.326733294080456,-0.279877148792796,-2.07985156558409,-0.0679930613727807,-0.202017880625127,0.13901398534584,0.413454589434148,1.0596969062333,-0.681914002923433,0.49556436706347,0.738407577070274,0.356571561358319,-0.0234248853126163,-0.203569519739484,0.291181001371056,-0.0590891852800613,-0.322499558015048,0.171652113490605,0.0727280686819182,0.575228270330553,0.0247445467230139,0.528193653348858,1.13706626514297,0.486267276618649,-0.140419760362813,-0.827785055250106,0.503662297902659,0.088332745917141,0.461139303421716,-0.562887147608076,0.140307363460244,-0.460125437348391,-0.363637553177136,0.289833716463693,0.534873319707524,0.064836104971799,0.350156176284342,0.00200244505101239,0.16064903374322,-0.216708764869417,0.0874641092260102,0.750059710841201,0.147897109069645,-1.20654918258495
"s__lenta",7.37298393899723e-05,-0.368953568442972,-0.0787266041798647,-0.347269524061225,0.652927081495981,-0.523521207050699,0.205398327048676,-0.166998128521772,0.270510552864587,-0.245300571759726,0.401204401249209,0.344936929868009,-0.509303344154899,-0.344873739195213,-0.0264571763112722,0.0330348310720893,-0.264951597253465,-0.256764365656671,0.3755193564408,0.559116775259312,-0.0699639601606001,-0.365324152894528,-0.314675373516335,0.998158064359785,-0.294821046262272,0.15603946426444,0.0383114891971045,0.0473182078747324,-0.0419639086835921,-0.105817290052815,-0.348153529408409,0.105324204038262,0.0388103561503231,-0.103340863208331,0.0805940954094955,0.541061472060037,-0.391566828191092,0.351592072486576,0.418407821591662,0.104295464301613,-0.153365863466902,-0.0942057653845528,-0.0726602630424339,-0.238203428655578,-0.27654084198421,-0.156721798477662,-0.123167855614588,0.0774272372642256,-0.124744517862758,1.06717702314601,0.181590306151971,0.365458779772917,-0.188307794878947,-0.458955427566548,0.796817716530013,-0.127234949185063,0.320694528382733,0.0936527327902834,0.195069947257598,-0.256638546539971,-0.208211915734457,-0.0986375536175091,0.390806794258846,0.135485638033259,0.104571845419625,-0.208893294633715,0.0795448105519256,-0.208921721317884,-0.310956641146599,0.0565315090268422,0.205848166747768,0.00948207617082286
"s__helveticus",-0.0832283636359571,-0.186130459305811,-0.0819424453686153,0.145795748599038,-0.0507193846480009,-0.091817393639675,-0.223706401249653,0.377168135082728,-0.369228914610002,0.00537906388485025,0.00715851697476909,0.215950614398637,-0.167625681047226,-0.117335643420958,0.0877641885161702,-0.0729669426840131,-0.386972643581184,-0.335188981794842,-0.318954632137438,-0.400331246327884,0.0842655675981184,0.073162084197371,-0.00370695845825904,-0.318342503047395,-0.0225874557054801,-0.14515419492035,0.0572919780260034,0.00574176611773992,0.168139548411075,0.110954347630483,1.05758173777839,0.091755050460657,0.134934194258953,-0.181166013041544,-0.224784579130705,-0.378728004526236,0.216715105608847,-0.115689091152176,-0.241851649919513,-0.17125283768894,-0.0768157496242601,0.0702175131517015,-0.213926243580426,-0.0849720099121148,0.0437112336687563,-0.181341496926067,-0.118453803479902,-0.320209579315925,-0.0937901042746215,0.211377994048417,-0.607792255829716,-0.10604132798486,0.0270446467914042,0.300866027327928,0.0910552785980421,-0.122428342509807,-0.156905702070929,0.335388436656702,-0.00203012314525727,0.16600822726566,0.0954690037738126,-0.230995766011891,-0.132514439437521,0.0253195849170027,-0.149011753726554,-0.0880523583095787,-0.0783861703959117,0.017324112882366,-0.181118634977392,-0.423869965115181,-0.000955172679042632,0.720839679028363
