"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"__","Group",0.766751307087181,0.886074299450629,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",5.57080729577481,2.47788641144621
"s__","Group",0.897590511809598,0.970368120875241,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",6.77928057759658,2.76113218159119
"s__ramosum","Group",0.422980386601613,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.75217553657122,0.809147314354061
"s__prausnitzii","Group",0.449454594263529,0.780496637342778,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",38.5545621604837,5.26882967920089
"s__gnavus","Group",0.995535294657661,0.995535294657661,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.337472916833714,-1.56715636847945
"s__distasonis","Group",0.82723098755764,0.919145541730711,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.3312624159412,0.412794980612297
"s__formicilis","Group",0.49085139652348,0.780496637342778,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.89292276115145,1.53252780491586
"s__mucilaginosa","Group",0.476831956632343,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.61125658200258,0.68818625202561
"s__lenta","Group",0.526835230206375,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.59301558349632,1.37463087652106
"s__helveticus","Group",0.7753150120193,0.886074299450629,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.59820901420618,0.676456096651296
"s__copri","Group",0.618289273602765,0.853514810945019,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.62587966378553,0.701220483191329
"s__muciniphila","Group",0.682811848756015,0.853514810945019,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.21098987305972,0.27618680050077
"s__ovatus","Group",0.959834211465561,0.995535294657661,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.610845050481482,-0.711121628513123
"s__fragilis","Group",0.456215201814081,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.58087383097727,0.660722231271974
"s__longicatena","Group",0.476831956632343,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.96105575791892,0.971630555687904
"s__longum","Group",0.463031898364332,0.780496637342778,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.73762128481423,0.797113680508512
"s__adolescentis","Group",0.103912586602139,0.780496637342778,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",-10.3896844655704,NA
"s__D168","Group",0.436103146506035,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.1235555140255,0.168071408746275
"s__parainfluenzae","Group",0.403730565034196,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",3.69034593073449,1.88375605996129
"s__viridiflava","Group",0.505086575956326,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",-2.01793729855908,NA
"s__dispar","Group",0.360877132628192,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",-0.563821157704621,NA
"s__aerofaciens","Group",0.33206367556494,0.780496637342778,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",5.93758522444899,2.56987631603748
"s__plebeius","Group",0.469904287681697,0.780496637342778,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.5929509943201,0.671701884352944
