"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"Gene0035",103.879723813235,1.73708326462592,0.247424068089743,1.32530493285537e-13,1.31072657859396e-10,TRUE,"Up in treated"
"Gene0043",2367.90689202682,1.64180677393708,0.25051989476308,2.11336736089863e-12,1.04506015996437e-09,TRUE,"Up in treated"
"Gene0008",198.889283599712,1.93337234607259,0.300217701752078,3.28653884161601e-12,1.08346230478608e-09,TRUE,"Up in treated"
"Gene0014",104.205482146885,1.73453898274619,0.280533070477844,2.27345671203798e-11,4.7622257024968e-09,TRUE,"Up in treated"
"Gene0054",93.9571070011269,1.62109412169041,0.260455505400053,2.40759641177796e-11,4.7622257024968e-09,TRUE,"Up in treated"
"Gene0012",43.7387801409843,1.89956368178105,0.315387458976632,8.51268112114458e-11,1.403173604802e-08,TRUE,"Up in treated"
"Gene0042",191.323640139709,1.56207618355508,0.262944849662857,1.08858808490204e-10,1.53801945138302e-08,TRUE,"Up in treated"
"Gene0003",132.372729409403,1.49873528785088,0.258999463753875,3.55523748601273e-10,4.39516234208324e-08,TRUE,"Up in treated"
"Gene0098",160.199863191009,-1.62120216692325,0.283891051082482,4.61827766564459e-10,4.5674766113225e-08,TRUE,"Down in treated"
"Gene0100",37.2821933361027,-1.89987994891242,0.3292596202805,4.28392816090199e-10,4.5674766113225e-08,TRUE,"Down in treated"
"Gene0004",210.278191366396,1.49460932490032,0.268320897661326,1.08740645088064e-09,9.77677254473598e-08,TRUE,"Up in treated"
"Gene0040",102.615129112221,1.58487318974004,0.29051698419135,2.73242922241858e-09,2.25197708414331e-07,TRUE,"Up in treated"
"Gene0006",152.378197850743,1.683665766093,0.313080755764488,3.58754989178442e-09,2.72929757151907e-07,TRUE,"Up in treated"
"Gene0049",233.563747448898,1.57251587910654,0.298448819010941,5.22132323984852e-09,3.68849191729299e-07,TRUE,"Up in treated"
"Gene0062",153.999950606302,-1.39271212121391,0.277540703368882,2.22248281742915e-08,1.46535700429162e-06,TRUE,"Down in treated"
"Gene0038",113.540957424668,1.35100731353467,0.27180152947032,3.80778899614073e-08,2.35368957323949e-06,TRUE,"Up in treated"
"Gene0085",166.00787583625,-1.29925732491154,0.276793387732474,1.07455508686401e-07,6.25138224063824e-06,TRUE,"Down in treated"
"Gene0021",48.4552415720921,1.34393110831558,0.287701593075804,1.65233038566741e-07,9.07863750791704e-06,TRUE,"Up in treated"
"Gene0017",111.134099642956,1.45449235899971,0.320837131766478,2.64493701824927e-07,1.32714267004966e-05,TRUE,"Up in treated"
"Gene0057",39.529435531367,1.61494315273533,0.362766094392948,2.81799758048968e-07,1.32714267004966e-05,TRUE,"Up in treated"
"Gene0086",36.8156256178688,-1.52657582197889,0.335438596700318,2.73135637688544e-07,1.32714267004966e-05,TRUE,"Down in treated"
"Gene0026",122.000045604693,1.33871674043086,0.294511995179047,2.99991841842958e-07,1.34859968901221e-05,TRUE,"Up in treated"
"Gene0034",197.611125765109,1.58162275748188,0.359465982547741,3.36948113034148e-07,1.3972254442433e-05,TRUE,"Up in treated"
"Gene0059",116.833405394399,1.27900981544088,0.287249032638774,3.39063808512025e-07,1.3972254442433e-05,TRUE,"Up in treated"
"Gene0015",223.306735824,1.5343700133399,0.345279820271122,3.90676848553613e-07,1.4860746277674e-05,TRUE,"Up in treated"
"Gene0058",197.960265894901,1.50746985031054,0.33772672443991,3.80549834618675e-07,1.4860746277674e-05,TRUE,"Up in treated"
"Gene0070",200.84153727579,-1.2439774838944,0.278938578514002,4.73451976080799e-07,1.73423705312559e-05,TRUE,"Down in treated"
"Gene0097",98.0580672289949,-1.36197821282771,0.315162307303953,6.9498299298948e-07,2.45477921452355e-05,TRUE,"Down in treated"
