"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR009","DHMR010","DHMR011","DHMR012"
"0610005C13Rik",1,4,11,6,13,6,14,8
"0610007P14Rik",668,1487,1491,1352,1490,1371,1364,1434
"0610009B22Rik",493,908,1023,1002,977,1025,1029,1048
"0610009L18Rik",12,29,37,34,33,57,46,33
"0610009O20Rik",820,1380,1526,1462,1407,1327,1410,1406
"0610010F05Rik",425,1150,686,879,1017,1058,885,1068
"0610010K14Rik",649,1065,1172,1183,1128,1066,1098,1144
"0610011F06Rik",223,422,497,428,394,403,379,430
"0610012G03Rik",214,452,440,409,401,475,467,436
"0610030E20Rik",486,965,1113,1126,967,1043,1059,1123
"0610037L13Rik",611,1151,1350,1241,1160,1066,1064,1225
"0610038B21Rik",6,6,10,11,13,10,11,11
"0610039K10Rik",3,1,0,2,0,2,1,0
"0610040B10Rik",15,17,31,24,13,41,28,18
"0610040F04Rik",1,1,0,1,1,0,0,0
"0610040J01Rik",0,3,1,0,0,14,7,0
"0610043K17Rik",1,2,0,2,2,5,5,2
"1010001N08Rik",2,3,0,2,1,1,1,0
"1110001J03Rik",89,136,169,171,144,133,129,125
"1110002L01Rik",48,76,69,89,67,85,83,76
"1110004E09Rik",346,615,869,720,741,674,797,850
"1110004F10Rik",1761,2944,3672,3431,3117,2732,2946,3231
"1110006O24Rik",3,8,11,9,9,6,10,12
"1110007C09Rik",696,1535,1462,1293,1445,1684,1895,1679
"1110008F13Rik",773,1219,1392,1262,1206,1311,1534,1481
"1110008L16Rik",387,730,692,730,742,754,735,767
"1110008P14Rik",406,830,913,751,779,868,940,930
"1110012L19Rik",450,881,1156,918,897,941,1211,1042
"1110017D15Rik",1,4,2,4,7,4,2,8
"1110019D14Rik",78,112,88,127,140,157,111,97
"1110020A21Rik",4,18,20,7,21,19,16,10
"1110032A03Rik",165,305,368,316,304,310,333,335
"1110034G24Rik",82,168,163,150,164,198,206,206
"1110037F02Rik",1802,3832,3273,3838,4013,3810,3424,3551
"1110038B12Rik",960,1973,2108,1841,1993,2119,2651,2564
"1110038F14Rik",605,1063,1143,1118,1049,1084,1053,1161
"1110046J04Rik",130,218,213,203,177,212,233,228
"1110051M20Rik",889,1663,1737,1653,1678,1736,1568,1540
"1110059E24Rik",703,1177,1275,1390,1290,1102,1093,1263
"1110059G10Rik",277,674,552,688,689,727,586,729
"1110065P20Rik",227,315,379,356,335,287,318,335
"1190002F15Rik",69,95,111,119,93,68,51,64
"1190002N15Rik",2748,7115,5122,6898,6400,7231,5442,5237
"1190005I06Rik",9,3,2,7,2,5,5,6
"1190007I07Rik",51,71,72,76,65,88,90,81
"1200014J11Rik",1045,1881,1931,2130,2139,2027,1873,1903
"1300002E11Rik",111,222,248,242,272,358,334,283
"1300017J02Rik",0,3,2,2,4,2,1,3
"1500004A13Rik",32,86,78,94,77,87,90,86
"1500009C09Rik",0,1,1,0,1,2,1,0
"1500009L16Rik",12,27,27,20,24,14,12,14
"1500011B03Rik",118,245,340,265,247,309,388,378
"1500011K16Rik",229,451,601,484,453,458,515,567
"1500012F01Rik",924,1830,1946,1881,1706,1901,2404,2429
"1500012K07Rik",0,4,0,1,3,5,1,5
"1500015A07Rik",12,24,79,59,34,42,62,90
