"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","_row"
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","13/120","97/11213","0.134","12.5231","11.8547","2.7307E-11","5.7345E-09","4.7141E-09","Mmp13/Lcn2/S100a8/Il6/Mmp3/Cxcl1/Cxcl5/Cxcl10/Ptgs2/Ccl7/Ccl11/Mmp9/Ccl2","13","mmu04657"
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","12/120","95/11213","0.1263","11.8032","10.9978","3.3437E-10","3.5109E-08","2.8861E-08","Ccl3/Il6/Ccl8/Ccr1/Cxcl1/Cxcl5/Cxcl10/Ccl5/Ccl7/Ppbp/Ccl11/Ccl2","12","mmu04061"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","18/120","294/11213","0.0612","5.7209","8.5313","1.9911E-09","1.3938E-07","1.1458E-07","Ccl3/Il6/Il13ra2/Il1a/Tnfrsf9/Ccl8/Csf2rb/Ccr1/Cxcl1/Cxcl5/Cd40/Cxcl10/Ccl5/Ccl7/Ppbp/Ccl11/Gdf5/Ccl2","18","mmu04060"
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","11/120","118/11213","0.0932","8.7107","8.7574","4.8439E-08","2.543E-06","2.0905E-06","Il6/Mmp3/Cxcl1/Cxcl5/Cxcl10/Ccl5/Ptgs2/Map3k8/Mmp9/Ccl2/Traf1","11","mmu04668"
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","9/120","87/11213","0.1034","9.6664","8.4399","3.4663E-07","0","0","Ccl3/Il6/Mmp3/Il1a/Cxcl1/Cxcl5/Itgb2/Ccl5/Ccl2","9","mmu05323"
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","11/120","194/11213","0.0567","5.2982","6.281","7.0367E-06","0.0002","0.0002","Ccl3/Ccl8/Ccr1/Cxcl1/Cxcl5/Cxcl10/Ccl5/Ccl7/Ppbp/Ccl11/Ccl2","11","mmu04062"
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","11/120","217/11213","0.0507","4.7367","5.781","0","0.0006","0.0005","Ccl3/Il6/Mmp3/Cxcl1/Cd40/Ddit3/Ccl5/Cd14/Vldlr/Mmp9/Ccl2","11","mmu05417"
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","7/120","95/11213","0.0737","6.8852","5.9912","0.0001","0.0018","0.0015","Kng1/Serpinb2/Kng2/Thbd/Itgb2/F13a1/F7","7","mmu04610"
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","9/120","174/11213","0.0517","4.8332","5.3","0.0001","0.0023","0.0019","Try5/Il6/Il1a/Tpsab1/Oas1b/Cxcl10/Ccl5/Mx1/Ccl2","9","mmu05164"
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","7/120","103/11213","0.068","6.3504","5.6736","0.0001","0.0023","0.0019","Ccl3/Kng1/Nos2/Kng2/Il6/Ccl5/Ccl2","7","mmu05142"
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","7/120","104/11213","0.0673","6.2893","5.6362","0.0001","0.0023","0.0019","Ccl3/Il6/Cd40/Cxcl10/Ccl5/Map3k8/Cd14","7","mmu04620"
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","7/120","107/11213","0.0654","6.113","5.5271","0.0001","0.0025","0.0021","Nos2/Il6/Cxcl1/Serpinb9b/Itgb2/Serpinb9e/Cd14","7","mmu05146"
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","6/120","77/11213","0.0779","7.2812","5.7521","0.0002","0.0027","0.0022","Nos2/Il6/Il1a/Cxcl5/Itgb2/Cd14","6","mmu05133"
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","8/120","149/11213","0.0537","5.017","5.1339","0.0002","0.0029","0.0024","Gsta1/Il1a/Thbd/Mgst1/Gsta4/Hmox1/Mmp9/Ccl2","8","mmu05418"
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","13/120","394/11213","0.033","3.0831","4.378","0.0003","0.0041","0.0034","Try5/Kng1/Kng2/P2rx3/Cck/Npy1r/Adm2/Gipr/Adm/Apln/Mchr1/Htr1d/Adora2b","13","mmu04080"
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","5/120","66/11213","0.0758","7.0789","5.1514","0.0007","0.009","0.0074","Il6/Cd40/Itgb2/Comp/Ccl2","5","mmu05144"
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","5/120","73/11213","0.0685","6.4001","4.8143","0.0011","0.0134","0.011","Gsta1/Chac1/Mgst1/Gsta4/Anpep","5","mmu00480"
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","8/120","219/11213","0.0365","3.4134","3.7513","0.0024","0.0281","0.0231","Il6/Mmp3/Itgb7/Cd40/Ddit3/Cd14/Mmp9/Traf1","8","mmu05202"
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","5/120","90/11213","0.0556","5.1912","4.152","0.0028","0.0304","0.025","Gsta1/Ptgs2/Mgst1/Gsta4/Cyp3a13","5","mmu05204"
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","5/120","93/11213","0.0538","5.0237","4.0525","0.0032","0.0317","0.0261","Il6/Il1a/Cd33/Cd14/Anpep","5","mmu04640"
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","7/120","180/11213","0.0389","3.6338","3.705","0.0032","0.0317","0.0261","Clec4e/Nos2/Il6/Il1a/Itgb2/Camp/Cd14","7","mmu05152"
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","4/120","59/11213","0.0678","6.335","4.2732","0.0036","0.0344","0.0283","Il6/Cxcl1/Itgb2/Cd14","4","mmu05134"
"Organismal Systems","Circulatory system","mmu04270","Vascular smooth muscle contraction","6/120","144/11213","0.0417","3.8934","3.6345","0.0045","0.0407","0.0334","Kcnma1/Adm2/Adm/Myl9/Actg2/Adora2b","6","mmu04270"
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","9/120","306/11213","0.0294","2.7483","3.225","0.0055","0.0484","0.0398","Lcn2/H2-Q10/Mmp8/Itgb2/Cd14/Comp/Mmp9/Anpep/Hvcn1","9","mmu04145"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","5/120","107/11213","0.0467","4.3664","3.6391","0.0058","0.0484","0.0398","Cxcl1/Cd40/Ptgs2/Cd14/Traf1","5","mmu04064"
,,"mmu04156","Integrated stress response (ISR) signaling pathway","4/120","68/11213","0.0588","5.4966","3.8682","0.006","0.0484","0.0398","Trib3/Chac1/Ddit3/Atf3","4","mmu04156"
