"","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02","K_XYL_F_0001_01","K_XYL_F_0001_02","K_XYL_F_0002_01","K_XYL_F_0002_02","K_XYL_F_0003_01","K_XYL_F_0003_02","K_XYL_F_0004_01","K_XYL_F_0004_02","K_XYL_F_0005_01","K_XYL_F_0005_02","K_XYL_F_0007_01","K_XYL_F_0007_02","K_XYL_F_0008_01","K_XYL_F_0008_02","K_XYL_F_0009_01","K_XYL_F_0009_02","K_XYL_F_0009_03","K_XYL_F_0011_01","K_XYL_F_0011_02","K_XYL_F_0012_01","K_XYL_F_0012_02","K_XYL_F_0013_01","K_XYL_F_0013_02","K_XYL_F_0017_01","K_XYL_F_0017_02","K_XYL_F_0018_01","K_XYL_F_0018_02","K_XYL_F_0022_01","K_XYL_F_0022_02","K_XYL_F_0028_01","K_XYL_F_0028_02","K_XYL_F_0030_02","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0033_02","K_XYL_F_0035_01","K_XYL_F_0035_02","K_XYL_F_0035_03","K_XYL_F_0036_01","K_XYL_F_0036_02","K_XYL_F_0037_01","K_XYL_F_0037_02","K_XYL_F_0038_01","K_XYL_F_0038_02","K_XYL_F_0039_01","K_XYL_F_0039_02","K_XYL_F_0042_01","K_XYL_F_0042_02","K_XYL_F_0043_01","K_XYL_F_0043_02","K_XYL_F_0044_01","K_XYL_F_0044_02","K_XYL_F_0045_01","K_XYL_F_0045_02","K_XYL_F_0046_01","K_XYL_F_0046_02","K_XYL_F_0047_01","K_XYL_F_0047_02","K_XYL_F_0048_01","K_XYL_F_0048_02"
"s__",0.179014129609861,1.23571962205208,0.269656803830839,0.253657103891094,-1.41638083222904,0.588122641171931,-0.258279950594666,0.0817351587199666,-0.0752919017432715,0.406763949188891,-0.757723085025277,-1.05007882230105,1.21196264679943,0.942173697596949,-0.591040019765118,-0.738516122481781,0.961376222065157,1.00946241436818,-0.428100347423946,-1.04832589926404,-0.0251477775078047,0.739927035830589,0.655310451479889,-2.00414857478935,0.751377137969455,-0.0497956049410123,-0.0968981496008755,0.19113601607079,0.0438174393346672,0.213335783580616,0.10484357237161,-0.318828497334639,-0.140598066856563,1.05706510667183,0.244534898253873,-0.791116915426216,0.713479644216756,-0.83575111059971,-0.691653867636815,0.0328231017197314,0.64250658019221,0.232842915012745,0.414661929204395,0.679926096620887,0.796448804992078,0.550520554399038,0.593631431814077,0.29549314783238,0.620969863138877,-2.73520115411368,0.340268703719105,-0.838987898326783,-0.0745361487577449,0.381835748307178,-1.96421378333183,0.504617196319002,-0.0802061930056297,0.142081365935839,-0.263257674002149,0.223542728149407,0.679513399615252,0.5616020180977,-0.738672804650892,-0.306455484592188,-0.240728802573497,0.34933780842674,0.178285374196958,0.609761067576107,0.557125551225918,0.28041220273993,-0.293961613437001,-0.577914512946717,0.44460514117703,1.17460773296692,0.152578976130895,0.368466515325636,-0.730437561911552,0.532672187424885,-0.132323795620303,0.834363917244431,-1.22989665700122,-0.931195777905206,0.00488037436056096,-0.189097570866009,0.347481470984257,-0.179595938125237,-0.984050409514407,0.72600440631149,0.0146333592802703,0.135982151399304,-0.421917837231535,0.0432195985970872,-0.31424537926993,-0.420080804903733,0.235283486925189,0.373414999300379,0.711179462225305,-0.475925623386846,0.385296466590431,-0.829043325868929,-0.462044396889006,-0.649285083196302,-0.699736516507403,-0.283820243447016,-0.971002105535543,-0.73212883422073,0.249497628535615,-0.295340990051262,0.15511702869391,-0.42152811264858,-0.381790381719529,-0.629548095507965,-0.409447098903272,-0.507138719431099,0.723440825731612,0.915152137745255,0.0480627980829509,-0.451132464408168,-0.377919320338273,0.0391911530428189,-0.0682790602808886,0.120619543247585,-0.448505756489245,0.878585743849242,1.39783650802645,0.78394796917946,0.69618699976899,0.984662748365117,-0.498278309473892,0.544616404938471,-0.421225264209884,-0.56649374963931
"__",0.236512803781851,1.21242412107475,0.257967038935669,-0.0821621296732988,-1.13292519865383,0.100539177009527,-0.135483027947741,-0.0295257410172276,0.181983566789258,0.24432043262622,-0.527590407322037,-0.974676481080182,0.990753310492749,0.842867611864256,-0.85767797192154,-1.02128977552716,0.920437558455585,1.0113713741424,-0.165253745417212,-0.814228611670448,-0.112997001042867,0.568930092322203,0.50100058509038,-1.55547522126934,0.660665886101461,0.110772416062965,-0.072895160591944,0.33784328687332,0.0417564318020879,0.183043412795525,-0.0954067082609678,-0.289389365263315,-0.117372838552669,1.32261560893348,0.408829471842568,-0.468327076144838,0.526855189555554,-0.733323620606488,-0.464607965316814,0.151816918216463,0.687372862102193,0.217750271709537,0.443624007053428,0.622797387817086,0.764292156192237,0.529053168809987,0.650030497493835,0.456089469252221,0.692161718819157,-2.38497764679765,0.599255720750701,-0.716852414073447,-0.357613978274155,-0.0186148537977608,-1.68436560574799,0.516981786685343,0.290109994911797,0.403607628474551,-0.10815023211487,0.0033667497728847,0.70273279744646,0.613374523028881,-0.545293817497361,-0.24508997530216,-0.232044181777545,0.191965620866587,0.3452140138516,0.585433882369298,0.327579261785883,0.383365609905972,-0.136849784676367,-0.6512445747076,0.446091916711758,1.10861337185921,0.2184397329289,0.54419963921933,-0.667999973598576,0.380447345289794,0.0734963932916953,0.803051312333426,-0.928785655212471,-0.625181076470628,0.0776303338422439,-0.275775913143056,0.562218191329777,-0.0269808837062172,-0.694106312851671,0.504490181178867,-0.252682038421306,0.218476363813679,-0.393939356002701,0.0872442356439054,-0.638004021690037,-0.134742551122804,-0.0839424869471869,0.372454050326467,0.849984443889106,-0.529946325098709,0.464341391871787,-0.618940983345531,-0.956751133360752,-0.616126903768102,-0.573778644253326,-0.426581154512279,-0.552159587725121,-0.826540721086408,-0.150649375007165,-0.315481922785619,0.0496066944123163,-0.2661127088051,-0.314358055128926,-0.577324771696126,-0.787394460710494,-0.895227053411082,0.801004635916636,0.837812462271011,0.14856083444558,-0.295696570558439,-0.777615611646015,-0.416761946728006,0.0284195998043188,0.227239067465492,-0.350862391814199,0.754156587436625,0.769810230834331,0.525386823148624,0.446808857554945,0.710977943455932,-0.356324696386257,0.415355473208216,-0.727743690513195,-0.47955944779752
"s__adolescentis",-0.41433078181487,-0.584766861335992,0.0822024478260365,2.12000547750123,-0.621871034019553,3.92968551126493,0.0473035937691666,-0.501555938460996,-0.821093983940357,0.925951402869733,-1.14972858469796,-0.204783985131261,1.11852717534797,0.182056628918115,2.73051765518497,3.6381542776526,0.634537318593744,0.00988903797436855,-0.634106218897865,0.656914110875534,0.494403674907386,0.355460108154203,0.591417282284739,-0.394272385118978,-0.013873264908039,-0.822040980993964,-0.306100406672114,-1.54082496913432,-0.651023158279874,-0.394635528063088,-2.242045927248,-0.215904071980327,-0.532053497151984,-2.9336885657539,-0.913490772575889,-0.509972466433497,-0.00212937512303225,0.518635220779309,-0.287613694722951,-0.458640570032324,-0.879059742271408,-0.40226510421991,0.0356606418723387,0.00445897914690515,-0.826507181477401,0.198261050297614,-0.769584712993583,-0.591522654124792,-1.0229359285467,-0.599625046833755,-0.456130125711971,0.313539830019769,2.48245798615965,1.96739493967552,-0.457339788905873,-0.261125689599628,-2.58976731350318,-3.70303590240263,-1.04468348092448,1.06335248749109,-1.36469712301388,-0.277721061438959,-0.336277956223675,-0.268034522496926,0.757210845969245,1.29256247543195,-1.3948957662056,-0.576118526605555,2.02196317684332,0.314425790500183,-1.02968238544708,-1.3103552352696,-0.575834173590005,-0.11186815885737,-1.01834463396812,-1.05703218234397,-1.59892254524497,0.478129662732402,-0.595927861979526,-0.903713109567301,-0.642472567157478,-2.25638215140136,-0.636147110330367,-0.135182868870955,-0.150536748100383,-0.0227418195048126,0.134094589536638,0.785808167630599,2.60420520855623,-0.684399462408372,0.311469270912501,0.223855143123701,3.53376598132131,-0.871138617966068,2.98649034138125,-0.423934383367174,-2.15380299972778,0.324889413465333,-1.030280950902,-1.14758721217294,3.56852143588935,-0.865409345245701,-0.532326005681936,0.362793958713017,-3.42807435314421,1.45316953192491,2.29302195636009,-0.00509118976945916,0.214977859786247,-0.84421696138788,-1.25795591236273,0.282625401973958,3.38285661597927,3.42992175965261,-2.54627061599443,-0.422603520941837,-0.792698288343888,-0.79322963642962,2.95538942326145,2.85768673987244,-0.458518886441128,-1.7619992040263,-0.227806289021036,0.466494992594816,3.72679293213233,-0.238041719618729,3.5654868008504,-1.29513872731766,-0.353740702230573,0.250372009708765,1.47247470775029,-1.00095984629574
"s__prausnitzii",-0.0600539289214753,0.219025421146576,0.0831045538679528,0.609272376738593,-0.623879532107405,1.05978697441668,-0.141494269223194,0.025970605708444,-0.322115383458794,0.346297525454719,-0.509204118392808,-0.328311001542012,0.603904660157544,0.317090164952166,0.451956490294063,0.561451445401747,0.345487542342606,0.234881331044064,-0.38095478928908,-0.316517283805268,0.12933319071061,0.34685486349659,0.349539018289878,-0.84626236704925,0.237990816623478,-0.246779018468805,-0.0843838110348612,-0.285458011806657,-0.0831462955593348,0.0139299532835363,-0.158161368161354,-0.126779815056392,-0.126899514342268,-0.372362790014563,-0.194313393673671,-0.49042301733687,0.299858245905751,-0.192524482362545,-0.366049654534604,-0.144735417263222,-0.0108429130369556,0.00642600546814688,0.0808225692183305,0.199890845889317,0.0880083801167752,0.172372054599996,-0.0145603305399655,-0.132906058951993,-0.0557391004055166,-0.975427368637154,-0.173524884898345,-0.237321607130001,0.547794314461407,0.663338003503438,-0.724754442986335,0.0704561276663252,-0.662153035776208,-0.694360414825432,-0.324933893724939,0.36520641264906,-0.0574007208150743,0.052955697167478,-0.359864458685405,-0.15445310054947,0.048045224837649,0.382689163689897,-0.28173422759276,0.0754210416946227,0.589161021042738,0.0369881624023566,-0.331332504194157,-0.272549635740878,0.0184819532428984,0.304392535600437,-0.16019038338786,-0.194617597555344,-0.447690187805023,0.303012205298534,-0.265584367001819,0.0849759859293259,-0.596197736692477,-0.765306782294178,-0.143834368731129,-0.00134426769030678,-0.0955167878404447,-0.154836006381827,-0.41787427702097,0.442623663233975,0.574933674859402,-0.127373554392194,-0.0728979209664673,0.0109990427213292,0.674410965082255,-0.429786905650899,0.719268690080391,0.0258064679921049,-0.248086324893738,-0.0245395507230554,-0.117276756788758,-0.511078158098917,0.768024044578991,-0.300922426395129,-0.330878225231709,0.0894815484801369,-1.02635794837044,0.109243030166695,0.679763412366588,-0.0549579904259643,0.143267300141676,-0.332773312398423,-0.320520755579589,-0.142831202138555,0.669253821147101,0.660677002923445,-0.258357408685972,0.206940130548239,-0.17654510305345,-0.332248140843972,0.629967331895331,0.753217190635773,-0.152202614015127,-0.305247249043643,-0.207724450978113,0.361793282540396,1.31957976260588,0.333620242948703,0.860582510751293,0.237219516419296,-0.269508454170862,0.25610426869308,0.336903382334188,-0.340077990318625
"s__copri",0.273107335436893,0.428485406135842,0.232509534221665,-0.64332832169779,0.490284185003873,0.0664373818247208,0.843626206262825,-1.33535795499939,1.35272919812237,-0.134703015375382,0.169697465965176,-0.544023619990547,0.307466574856094,0.21737842919121,-0.287221679617086,0.280232207911447,1.15288351945198,0.981706365208293,1.23984480813115,1.60885485190906,-0.310963349325604,-0.422566830912136,-0.141301952442091,1.55026865943019,-0.0725474713150537,0.553581145798184,-0.172433415708829,-0.00474659169534748,-0.581669891885271,-0.422649842659413,-3.68944079193011,-0.252529584588547,-0.430650660652819,0.530432029213953,0.779017936802081,1.52120815081652,-0.91318816277988,0.561840072914283,1.00806620609259,0.616364898932191,0.172408703589964,-0.282006826470208,0.672287549261977,0.162413775698128,-0.287889265735885,0.523393382070347,0.326031379640916,1.09536956984601,0.24203585201399,-0.170542287858854,2.10047702973078,0.535573006025082,-0.168512850150148,-1.21351660445453,0.0937033641229451,0.34025215801522,0.663986353997072,-1.08629190551527,0.0978029883064365,-0.671413533153283,-0.428415726910446,0.713928542686936,0.631941738898799,-0.0177973969888553,0.550249774570325,0.195085119163052,0.290805477781248,-0.165218511628117,0.456707353018605,1.43368616219738,0.0997182226499264,-2.39010961818838,-0.101880389604233,0.447414649858413,-0.242740266361917,0.860157629327068,-1.64845627783212,-0.345138998696559,1.07058976014102,-0.316619237987149,0.797921347432814,-0.378845823228071,0.0314917487595355,-1.04202563763088,2.0152917807244,1.10658000574104,1.65829368185617,-0.465009409401774,0.163267401688689,0.193663205420083,0.128010359307304,0.623590782004551,0.23648961757882,1.21820253437807,0.286475462458009,-0.0488219535825541,-0.149565343100325,-0.608004649235779,0.0787314221611348,-0.0662147392273129,-1.32496596955316,-1.1381855798742,-0.0869213756138066,-1.14542361988714,-0.547077136031247,-0.144556323274943,-1.03336672778538,-0.455798014944833,-0.550342407877596,0.136986399358887,-0.958499969215245,0.11066989924279,-0.454919749583256,-0.589919730133258,-1.02387280409903,-0.183931950825332,0.162733516273412,0.15655005309376,-1.00768621360958,-1.18186679019641,0.331100592811796,-0.618221746130029,0.193576073671051,0.208104242238558,-0.549620537767408,-1.67766812244204,1.85573789683227,-2.59956856575948,0.406091880042215,-0.350418850757,-1.63587238081494,-0.728537058626303
"s__muciniphila",-0.174728034554408,-0.178147425961784,-0.191807052211817,0.338456578901496,-0.519287239325114,-0.500703079791405,-0.798888332803095,1.28359757509775,-1.12873925208521,0.0476036824971561,-0.0889373665717718,0.404571781801387,-0.289856971566423,-0.117408285808668,-0.155037965894618,-0.802030919670445,-1.02128134596292,-0.780649375065257,-1.08901600156567,-1.65708115999627,0.215570372304981,0.41819375024609,0.123724323086657,-1.57343664423289,0.14966399117569,-0.401561435645609,0.185004225119973,0.223117391445301,0.615583525694311,0.45705960174187,3.64320288673003,0.221750663612074,0.443274387483018,0.011654407982647,-0.561955346136544,-1.39964221062737,0.90588698843327,-0.667171398651848,-0.952271166327874,-0.4961111818694,0.0268946177929711,0.332706939234819,-0.568549869768412,-0.0734468172653666,0.454140147989842,-0.439642730736595,-0.131738680628939,-0.884452766484751,-0.0200814857340833,-0.0673951698133957,-1.80788046842474,-0.617374318619313,-0.17430174988305,0.888833399502703,-0.240882719240483,-0.219669824784683,-0.277877245250135,1.47570286814987,0.0167767794756517,0.496348141412711,0.637849267609866,-0.549972700660941,-0.610277472567563,0.0170612535935354,-0.622271609601102,-0.304653112293546,-0.0648915879333031,0.290393817051113,-0.612742070626967,-1.30908941901327,0.00975786506413743,2.27130756348239,0.214900869878792,-0.262728081555362,0.367482962331789,-0.603507338810112,1.61954099156681,0.309608820400643,-0.908193029365857,0.494239909969124,-0.775068653985229,0.531398602927778,0.053707089608709,0.941084127508925,-1.76914273186304,-1.01960544804716,-1.6277043431692,0.39985840839308,-0.480886468839191,-0.0727404762960928,-0.202144269585085,-0.589191821801412,-0.70260153168366,-1.03807757808789,-0.617536621497883,0.139520322658767,0.48995065032595,0.457279984094727,0.103103928223983,0.11679927055828,0.691928119506027,1.07173092366539,0.0706682848307672,0.960473543147696,0.830022462240696,-0.135679568012962,0.669269978441389,0.381461139300918,0.488117445073046,-0.0617859565827515,0.988544612311685,-0.205419305989867,-0.0669977735505608,0.0386287583778829,1.3340906480684,0.321016356137438,-0.0404079480337174,-0.0893019871632387,0.492330852387115,0.708334940832499,-0.24864264229378,0.799813248720447,-0.195201615872285,-0.152490590983991,0.172202034810011,1.63674275943111,-2.0637545212831,2.62998921495848,-0.377069033602241,0.344955591260177,1.24740731128251,0.726927392668347
"s__gnavus",0.00694210433299586,0.198786280319985,-0.021033521600502,-0.0120782801862197,-0.357692537155157,-0.358980039025778,-0.300174961388355,0.458144177608012,-0.306847216842703,0.0134193626798337,-0.0691024518831623,-0.0351620316829783,0.0290494381037285,0.109326999669276,-0.358628550681908,-0.657767648104424,-0.207819383428969,-0.0757404887386664,-0.368657639121026,-0.752661369634991,0.0260344905062056,0.23097020153643,0.105401909873668,-0.808462333854917,0.176286497694125,-0.0725195665464731,0.0654283691199335,0.221017923313221,0.251921097582057,0.211032142807451,1.3413447454245,0.0323643269755021,0.156942714426156,0.408175455369469,-0.0661292846122354,-0.538166333812414,0.408034771976923,-0.39290717086055,-0.396807489886811,-0.116165133691427,0.185160120520559,0.175619636659505,-0.111903773655313,0.0921784930765876,0.342426880628299,-0.0604655436227097,0.118305054629474,-0.184064236059965,0.177653879760523,-0.441017436296233,-0.478769600179434,-0.362015242748563,-0.257809435357552,0.195437321362633,-0.375517633053343,0.0364325189721169,0.0967143279144204,0.774202309004493,0.0404526949073101,0.113594752080188,0.42179942170472,-0.0570301984141241,-0.292956887384268,-0.0262568478424487,-0.295683122157725,-0.135791741675515,0.116599658721335,0.239710006162207,-0.253660081885624,-0.390233514894026,0.0318586439960274,0.720049481789704,0.187705302924738,0.125444665006059,0.22010762391322,-0.0471835435627613,0.510101475215816,0.151968712044135,-0.264059121060945,0.367469050241467,-0.405242548862771,0.182207332540997,0.066503375843402,0.275704319390028,-0.488684556327623,-0.351204520096912,-0.692414238753549,0.189863445016205,-0.348883356438115,0.0525342763641238,-0.159575054489479,-0.196064483783936,-0.546118216240324,-0.333044202135757,-0.383788785720389,0.140126746065468,0.440827610821747,0.0386972251482464,0.177046174003984,-0.0163583314213244,-0.133023275151949,0.294567936462647,-0.0560254094945718,0.227594392012347,0.359531781428592,-0.278754619841623,0.0785654116097341,0.0707229167436029,0.164280571704446,-0.0266727893913224,0.343847572634809,-0.193747058035088,-0.349811623862038,-0.336647419819546,0.739850428717716,0.289627577701867,0.0560801233596413,-0.0443147721978752,-0.134880276974163,0.0118964906316242,-0.0551415514327915,0.408279636129154,-0.120628865444929,0.0656390818489458,0.00714025689030001,0.669165404907011,-0.806905012680863,1.09828361121086,-0.176964082506679,0.18261064834693,0.209988575898353,0.21001847970605
"s__longum",-0.199026913343389,-0.212693803769926,-0.139329718062687,0.585236415469425,-0.528406419036417,0.175657983363101,-0.641459839018519,0.96430866555351,-1.03177545279626,0.178597281130418,-0.249166024066244,0.282977210646503,-0.0552011778324083,-0.0558775038775552,0.264604340716704,-0.127511850213463,-0.719448736206137,-0.615497088343996,-0.977125918971162,-1.2559270906254,0.245682452115614,0.399101935594105,0.194615138797331,-1.35402688981213,0.128694220407332,-0.444522557455689,0.103513388157406,-0.0416948856436447,0.402756178361627,0.314338434574218,2.61613230742325,0.143390066129003,0.27854396080175,-0.403805530720724,-0.583450198494804,-1.21460120772348,0.740408816215094,-0.474101459018099,-0.819752595253341,-0.46685689337521,-0.0978170080690602,0.213093680555162,-0.448344235244585,-0.0496958860232326,0.256778451425183,-0.318814946241286,-0.210587051967201,-0.796257109188972,-0.156972056854627,-0.177710175537157,-1.5214444249643,-0.463803192555826,0.219734680403219,1.00902695902058,-0.286904390710133,-0.208717491047235,-0.602441860946398,0.654074960751712,-0.142020403384239,0.558464735895983,0.325191761231738,-0.477039234120219,-0.551363014492349,-0.0292839968731936,-0.395286926777972,-0.0531613431077078,-0.253129078384164,0.158582931478691,-0.192952393207216,-1.00736690984609,-0.145906866034581,1.63525480076762,0.0955046692003127,-0.212929493692456,0.150414785160286,-0.636262975523699,1.06505848528151,0.326572746792484,-0.821694944713487,0.278409559915652,-0.735445360290276,0.0882299408920088,-0.0491967986017361,0.737572459424084,-1.44558376177575,-0.828808710886311,-1.30748433029426,0.446772481280621,-0.00887381104889279,-0.156578431096322,-0.123397484231212,-0.442497467231815,-0.0568560491023227,-0.970407918018671,-0.0606298398043625,0.0558281723473951,0.0913201059781211,0.410202893823214,-0.061694956505349,-0.0837004762044255,1.07207134940907,0.730671102797609,-0.0296621680113976,0.824481303281324,0.158195760912332,0.0924015057054803,0.877439529221932,0.303327524830576,0.427401322685771,-0.178341009916227,0.609882597879927,-0.132973700151352,0.433046347034182,0.523885913124009,0.715820116014492,0.209675006344144,-0.147400989910513,-0.19352107673426,0.822774212124411,0.988420640423336,-0.268386954990237,0.390745561540604,-0.196657779590823,-0.0436241200815327,0.700015796795633,1.29701334829964,-1.13780599537064,1.94760235614655,-0.362470849819108,0.322105510445704,1.21587892706134,0.43366341367584
"s__formicilis",-0.0279316839381148,0.0695660463155988,0.0121876546539506,0.202676509762976,-0.244068392305774,0.264056842954967,-0.111226462710026,0.116340147080533,-0.185618189595323,0.108074738228988,-0.163546841982474,-0.0774518925379131,0.166812260650499,0.0963350450745861,0.101454499202972,0.0748855751177725,0.0288617541857127,0.0191755262801744,-0.205385692162224,-0.246890973623017,0.0535597013792074,0.145637119555727,0.120095268986591,-0.405468638671874,0.0930723099254933,-0.103243209276031,-0.00981856186914595,-0.0570631092052236,0.0292892398223405,0.0462423296045439,0.263281434867529,-0.0227653308228753,-0.000837048099802191,-0.0824405979079579,-0.0964754157489679,-0.268788053856258,0.172925414510994,-0.125398169301236,-0.194807951077888,-0.0812051653946286,0.0114917969508424,0.0341071040957641,-0.017250075869352,0.0624162415791301,0.0777252347526156,0.0216085360831897,-0.00376687653813266,-0.105445333403155,-0.00534379692456691,-0.329144441458317,-0.193267308467072,-0.13374821529144,0.136350139463435,0.26627837267522,-0.25924839348218,0.0108159118789981,-0.20900172054533,-0.0667824499126228,-0.0940004151215946,0.14744187396912,0.050440899755439,-0.0206424721587423,-0.165327376426346,-0.0473787199403215,-0.0433691666847086,0.0875855119388657,-0.080405659403465,0.0569423677859176,0.123165931858466,-0.0940561654751308,-0.0969540289971551,0.103484713960327,0.0316281340553169,0.0850592965167386,-0.0108565540337635,-0.0976781138318283,-0.00275604630108828,0.120390019681617,-0.152500662038249,0.0809649713802444,-0.254244358399445,-0.18611405628702,-0.0354162718833306,0.0748762061440785,-0.16818466445009,-0.131931608827656,-0.271397429680853,0.170474704465495,0.1199102493935,-0.038932474897205,-0.0452631131477724,-0.0454865836853288,0.122730451915879,-0.214547805291647,0.152817164252712,0.0259913700439343,-0.0143901092965523,0.0224138750317811,-0.016634192415834,-0.148189009242032,0.262803910040733,-0.00628554793135878,-0.0994629805684506,0.0999588433820696,-0.234465777471152,0.00505484439703215,0.249925314199748,0.0110436417375854,0.0837114848691077,-0.105782752646462,-0.013605745587799,-0.0689505817230335,0.172739626564613,0.17734143360444,0.0537201367445426,0.101916943467992,-0.0515778706258016,-0.10850696705113,0.209280929155472,0.269619852469808,-0.0644743109195965,-0.0155893532330262,-0.0826924615770011,0.10461741741137,0.408150535378678,0.244901794621496,0.0797327019299241,0.305142268227562,-0.116067199357808,0.11053152057583,0.190205391256244,-0.044490489235332
"s__dispar",0.0297264753435622,0.0376481994953776,-0.0662519171147474,-0.30898806495425,0.018716397641399,-0.843971104989917,-0.193485314510465,0.395008535811102,-0.118487902425685,-0.165040029814375,0.203117453100313,0.15552731277615,-0.297230617673602,-0.0807310153427876,-0.519514536944226,-0.835092239081801,-0.37849486360626,-0.20894258694615,-0.13552187535709,-0.491879835771768,-0.0377379905122508,0.0196779815519883,-0.0914747400770615,-0.261355560954303,0.0224141802301486,0.0543914111331338,0.101595375810603,0.328459105718819,0.263751063706762,0.175953123664385,1.27218066167611,0.0986534672201598,0.205001350165294,0.512411967279871,0.0265846107692203,-0.224414964202894,0.201242045127946,-0.235435788425204,-0.160227301188858,-0.0357417304538695,0.152284790036842,0.147301414139377,-0.150610802972541,-0.0325643972409439,0.241316825488852,-0.152224315094787,0.0956720233286245,-0.109680082430412,0.167625919268867,0.149998127350758,-0.355158956573149,-0.186325772606563,-0.489968275158608,-0.15289026025036,0.0667061668611192,-0.0155805269917066,0.404938881515334,1.01985607342181,0.198891701551334,-0.0791965773326372,0.385095705525944,-0.0924583106107174,-0.0689433989947832,0.0590788578461575,-0.280464255102423,-0.31421435221102,0.233660326529399,0.160831874131427,-0.524192178484666,-0.374754111535145,0.195144075311583,0.790767334253748,0.146258295925421,-0.0669450788640674,0.268948953932554,0.0401067904283101,0.690999214545799,-0.0240818733872926,-0.105565989446365,0.26407052532399,-0.0423968604424783,0.555151427702194,0.128009906590735,0.25267378299461,-0.401477580203175,-0.235021385214872,-0.39145526014805,-0.0624092925364777,-0.586948336217051,0.103882811872674,-0.0957723718212934,-0.181854131520831,-0.801378381424834,-0.0805866358733432,-0.693429308044758,0.102257035255012,0.492241005964405,0.0600282058602944,0.203247102786828,0.253239422260272,-0.472347555907787,0.425820482942269,0.128006586881886,0.169009063702064,0.839527767257579,-0.280393581139211,-0.261451536422158,0.0979952821126001,0.0740659503130759,0.147154510348287,0.471551418499895,-0.0869699153394151,-0.62060022256558,-0.601918922870264,0.764235462510704,0.133894932372312,0.133061167742202,0.131977229666974,-0.41051851571574,-0.35009376435337,0.0253130669083623,0.507422648884548,0.00419598527683396,-0.139316906636661,-0.663859335193354,0.416647694569617,-1.15259760465197,0.840693475752381,-0.0152595643093645,0.0253752480701872,0.0390927820964502,0.366510412052933
