"metric","group","n","mean","sd","median","q1","q3"
"shannon","IBS_after",36,1.49682784585933,0.354542510067025,1.62067637523424,1.30437927113224,1.73265194576711
"shannon","IBS_before",36,1.53950604618984,0.391628621506587,1.618614199242,1.34047781162896,1.80201441908872
"shannon","UC_after",29,1.3795830248368,0.362266625902307,1.44575447954184,1.08403544597733,1.64061078404747
"shannon","UC_before",29,1.49696011856829,0.349985875332078,1.56398859834922,1.30507488009833,1.79433959629983
"simpson","IBS_after",36,0.640793025009111,0.126440271006277,0.675096433710717,0.563053701155948,0.744001773955729
"simpson","IBS_before",36,0.645376216130379,0.132985042805256,0.678045163908283,0.585261246139604,0.733401867388462
"simpson","UC_after",29,0.599490202572066,0.137080341759829,0.651787219764766,0.508765040193794,0.695143517289709
"simpson","UC_before",29,0.635985936844214,0.131730705959501,0.648932153451024,0.566718726884057,0.742890433039201
"invsimpson","IBS_after",36,3.06951299478864,0.877008530655344,3.0784077792772,2.29035015726438,3.9062784989828
"invsimpson","IBS_before",36,3.17798036484002,1.10591117971964,3.10767230198765,2.41512210318615,3.75104978402779
"invsimpson","UC_after",29,2.78166429983765,0.91883822840388,2.8718072878441,2.0356857345709,3.28023203282284
"invsimpson","UC_before",29,3.09159595366459,1.04028786916717,2.84845225739149,2.30796958476534,3.88939241670641
"observed","IBS_after",36,16.6388888888889,4.93473274875016,17.5,13.75,20
"observed","IBS_before",36,16.9166666666667,5.45304633078743,17.5,12.75,21
"observed","UC_after",29,15.9310344827586,4.79531791350955,16,13,19
"observed","UC_before",29,15.9655172413793,4.73197903796747,15,13,19
"chao1","IBS_after",36,16.6388888888889,4.93473274875016,17.5,13.75,20
"chao1","IBS_before",36,16.9166666666667,5.45304633078743,17.5,12.75,21
"chao1","UC_after",29,15.9310344827586,4.79531791350955,16,13,19
"chao1","UC_before",29,15.9655172413793,4.73197903796747,15,13,19
"ACE","IBS_after",18,18.8888888888889,3.32351495167194,19,17,21
"ACE","IBS_before",15,19.2402986666667,5.38674330139923,20,17,23.5
"ACE","UC_after",10,19,3.65148371670111,19,18,20.75
"ACE","UC_before",10,16.9,5.56676646617126,15,13.5,19.75
"pielou","IBS_after",36,0.552514049603314,0.111908592463039,0.581597854752341,0.464339731477984,0.625520791424509
"pielou","IBS_before",36,0.554926602002955,0.117407825311052,0.568830711380454,0.501241002165742,0.63786658376279
"pielou","UC_after",29,0.50559223809924,0.110646322896811,0.522043341164258,0.419352332652662,0.573142195931455
"pielou","UC_before",29,0.546284780658756,0.101789053245407,0.580949931996402,0.473684385710622,0.620356962425553
