"disease","metric","n_pairs","median_delta","mean_delta","p_value","p_adjusted"
"IBS","shannon",35,-0.0895067944957628,-0.0794328976898469,0.171419015059733,0.638567991271027
"UC","shannon",29,-0.0741633081361019,-0.117377093731495,0.0206851431525508,0.0723980010339278
"IBS","simpson",35,-0.00728905938148949,-0.0187211291173932,0.398934407373075,0.638567991271027
"UC","simpson",29,-0.0399359035304373,-0.0364957342721486,0.119501238444944,0.209127167278652
"IBS","invsimpson",35,-0.0814793143956343,-0.189239223197028,0.389841408682048,0.638567991271027
"UC","invsimpson",29,-0.315204621981608,-0.309931653826948,0.0762117245149028,0.17782735720144
"IBS","observed",35,0,-0.457142857142857,0.740551169953535,0.740551169953535
"UC","observed",29,-1,-0.0344827586206897,0.784102109299382,0.855132140584706
"IBS","chao1",35,0,-0.457142857142857,0.740551169953535,0.740551169953535
"UC","chao1",29,-1,-0.0344827586206897,0.784102109299382,0.855132140584706
"IBS","ACE",7,1,2.13142857142857,0.344118496135312,0.638567991271027
"UC","ACE",4,-3,-0.25,0.855132140584706,0.855132140584706
"IBS","pielou",35,-0.0176342687347719,-0.013934323381159,0.456119993765019,0.638567991271027
"UC","pielou",29,-0.0476829120104148,-0.0406925425595161,0.0184267732358614,0.0723980010339278
