"metric","group_1","group_2","p_adjusted"
"shannon","IBS_before","IBS_after",0.656183687000668
"shannon","UC_after","IBS_after",0.404472418212522
"shannon","UC_before","IBS_after",0.963159788666475
"shannon","UC_after","IBS_before",0.404472418212522
"shannon","UC_before","IBS_before",0.656183687000668
"shannon","UC_before","UC_after",0.404472418212522
"observed","IBS_before","IBS_after",0.857526889114867
"observed","UC_after","IBS_after",0.736855769025804
"observed","UC_before","IBS_after",0.736855769025804
"observed","UC_after","IBS_before",0.736855769025804
"observed","UC_before","IBS_before",0.736855769025804
"observed","UC_before","UC_after",0.857526889114867
"chao1","IBS_before","IBS_after",0.857526889114867
"chao1","UC_after","IBS_after",0.736855769025804
"chao1","UC_before","IBS_after",0.736855769025804
"chao1","UC_after","IBS_before",0.736855769025804
"chao1","UC_before","IBS_before",0.736855769025804
"chao1","UC_before","UC_after",0.857526889114867
