Geneid	Chr	Start	End	Strand	Length	Sample_HBBx1.bam	Sample_HBBx2.bam	Sample_MJBx1.bam	Sample_MJBx2.bam	Sample_OCBx1.bam	Sample_OCBx2.bam	Sample_Pt10-Bx1.bam	Sample_Pt10-Bx2.bam	Sample_Pt12-Bx1.bam	Sample_Pt12-Bx2.bam	Sample_Pt2-Bx1.bam	Sample_Pt2-Bx2.bam	Sample_Pt6-Bx1.bam	Sample_Pt6-Bx2.bam	Sample_Pt8-Bx1.bam	Sample_Pt8-Bx2.bam	Sample_Pt9-Bx1.bam	Sample_Pt9-Bx2.bam	Sample_RJBx1.bam	Sample_RJBx2.bam
ENSG00000223972.5	chr1;chr1;chr1;chr1	11869;12613;12975;13221	12227;12721;13052;14409	+;+;+;+	1735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	14404;15005;15796;16607;16858;17233;17606;17915;18268;24738;29534	14501;15038;15947;16765;17055;17368;17742;18061;18366;24891;29570	-;-;-;-;-;-;-;-;-;-;-	1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278267.1	chr1	17369	17436	-	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485.3	chr1;chr1;chr1	29554;30267;30976	30039;30667;31109	+;+;+	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890.1	chr1	30366	30503	+	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	chr1;chr1;chr1	34554;35245;35721	35174;35481;36081	-;-;-	1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020.3	chr1	52473	53312	+	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.1	chr1	62948	63887	+	940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.4	chr1	69091	70008	+	918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1	89295;92091;110953;112700;120721;129055;133374	91629;92240;111357;112804;120932;129223;133723	-;-;-;-;-;-;-	3726	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239945.1	chr1;chr1	89551;90287	90050;91105	-;-	1319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	chr1	131025	134836	+	3812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903.1	chr1	135141	135895	-	755	5	23	0	1	1	0	2	0	3	0	1	2	1	2	0	0	0	0	0	3
ENSG00000269981.1	chr1	137682	137965	-	284	6	6	2	0	1	2	1	4	4	5	2	1	0	1	0	0	0	0	1	0
ENSG00000239906.1	chr1;chr1	139790;140075	139847;140339	-;-	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	141474;146386;155767;164263;165884;168100;168610;169049;172557;173753	143011;149707;155831;164791;165942;168165;168767;169264;172688;173862	-;-;-;-;-;-;-;-;-;-	6195	0	0	1	0	0	0	0	4	0	1	0	2	0	2	1	1	0	0	0	0
ENSG00000222623.1	chr1	157784	157887	-	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	chr1;chr1	160446;161314	160690;161525	+;+	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928.1	chr1;chr1;chr1	182393;183114;183922	182746;183240;184158	+;+;+	718	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279457.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	184923;185491;186317;187129;187376;187755;188022;188102;188126;188439;188489;188791;195259;200050	185350;185559;186469;187287;187577;187886;188028;188105;188266;188486;188584;188902;195416;200322	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1982	1	2	7	1	2	7	5	8	0	2	3	3	6	1	6	6	8	5	3	0
ENSG00000273874.1	chr1	187891	187958	-	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275135.1	chr1	200880	201017	+	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463.8	chr1;chr1;chr1;chr1;chr1;chr1;chr1	257864;264604;266361;268667;287517;289266;297345	259025;264733;268204;268816;287921;289370;297502	-;-;-;-;-;-;-	3954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
ENSG00000241670.3	chr1	258568	259024	-	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679.2	chr1	347982	348366	-	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236743.1	chr1;chr1;chr1	357383;358049;359345	357586;358183;359681	-;-;-	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601.1	chr1;chr1	358857;365171	358957;365704	+;+	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094.11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	365389;366019;368251;373144;379769;476531;484832;489361;494382;494992;495277;496264;497109;498047;498399;501556	365692;366120;368450;373323;379972;476945;485208;489710;494898;495049;495476;496665;497299;498305;499369;501617	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4792	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000269732.1	chr1	439870	440232	+	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566.1	chr1	450740	451678	-	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813.2	chr1	485032	485211	-	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653.3	chr1;chr1	487101;489717	489387;489906	+;+	2477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575.1	chr1;chr1	491225;492768	491989;493241	-;-	1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757.1	chr1	516376	516479	-	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709.1	chr1;chr1;chr1	585989;586821;588117	586358;586955;588453	-;-;-	842	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235146.2	chr1;chr1	587629;594235	587729;594768	+;+	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239664.2	chr1;chr1;chr1	594453;595083;597299	594756;595217;597498	-;-;-	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1	601436;607955;701936;703685;711342;720032;724358	601577;608056;702340;703789;711922;720200;724707	-;-;-;-;-;-;-	1854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223659.1	chr1;chr1;chr1	627377;627961;628919	627823;628223;629010	-;-;-	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	chr1	629062	629433	+	372	12	15	15	16	2	6	14	12	7	9	2	7	7	3	13	12	9	10	10	12
ENSG00000225630.1	chr1	629640	630683	+	1044	684	414	1503	1262	359	531	1227	2156	1536	2848	2020	2170	1418	1580	2081	4185	2479	3281	805	95
ENSG00000276171.1	chr1	630896	630958	+	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237973.1	chr1	631074	632616	+	1543	78	105	145	150	57	70	27	48	42	38	104	75	46	67	80	111	82	114	113	24
ENSG00000278791.1	chr1	632325	632413	-	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344.1	chr1	632757	633438	+	682	10	14	30	12	7	5	4	10	6	13	7	8	13	5	478	1091	18	7	13	11
ENSG00000240409.1	chr1	633535	633741	+	207	1	0	7	2	0	2	1	7	0	0	2	0	5	0	2	4	3	2	3	1
ENSG00000248527.1	chr1	633696	634376	+	681	934	465	557	798	366	467	667	1278	1015	529	828	874	735	849	666	933	924	1531	1062	329
ENSG00000198744.5	chr1	634376	634922	+	547	3	5	1	4	3	1	1	5	3	2	3	3	6	0	1	4	1	2	11	7
ENSG00000268663.1	chr1	674842	675265	+	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273547.1	chr1	685716	686654	-	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	chr1;chr1	722092;724718	724360;724903	+;+	2455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224956.5	chr1;chr1	726231;727674	726992;728147	-;-	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235373.1	chr1;chr1	741813;746695	743350;750016	-;-	4860	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000223181.1	chr1	758233	758336	-	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240618.1	chr1;chr1	759032;764723	759123;764925	-;-	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
